election_year,public_geography_id,municipality,label_french,label_dutch,label_german,valid_votes,blank_votes,list_vote_sum,party_list_count,vote_sum_reconciles,special_bucket,duplicate_nis_code,audit_status
2024,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),11248,396,11248,12,true,true,false,blocked_special_bucket
2024,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,10070,272,10070,12,true,false,false,bridge_safe
2024,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,275304,11823,275304,12,true,false,false,bridge_safe
2024,11004,Boechout,Boechout,Boechout,Boechout,9495,237,9495,12,true,false,false,bridge_safe
2024,11005,Boom,Boom,Boom,Boom,11018,566,11018,12,true,false,false,bridge_safe
2024,11007,Borsbeek,Borsbeek,Borsbeek,Borsbeek,6536,295,6536,12,true,false,false,bridge_safe
2024,11008,Brasschaat,Brasschaat,Brasschaat,Brasschaat,25114,663,25114,12,true,false,false,bridge_safe
2024,11009,Brecht,Brecht,Brecht,Brecht,20188,676,20188,12,true,false,false,bridge_safe
2024,11013,Edegem,Edegem,Edegem,Edegem,15071,356,15071,12,true,false,false,bridge_safe
2024,11016,Essen,Essen,Essen,Essen,10932,371,10932,12,true,false,false,bridge_safe
2024,11018,Hemiksem,Hemiksem,Hemiksem,Hemiksem,7651,267,7651,12,true,false,false,bridge_safe
2024,11021,Hove,Hove,Hove,Hove,5917,80,5917,12,true,false,false,bridge_safe
2024,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,12612,343,12612,12,true,false,false,bridge_safe
2024,11023,Kapellen,Kapellen,Kapellen,Kapellen,18180,533,18180,12,true,false,false,bridge_safe
2024,11024,Kontich,Kontich,Kontich,Kontich,14834,336,14834,12,true,false,false,bridge_safe
2024,11025,Lint,Lint,Lint,Lint,5909,133,5909,12,true,false,false,bridge_safe
2024,11029,Mortsel,Mortsel,Mortsel,Mortsel,16827,431,16827,12,true,false,false,bridge_safe
2024,11030,Niel,Niel,Niel,Niel,6954,305,6954,12,true,false,false,bridge_safe
2024,11035,Ranst,Ranst,Ranst,Ranst,13707,373,13707,12,true,false,false,bridge_safe
2024,11037,Rumst,Rumst,Rumst,Rumst,10628,274,10628,12,true,false,false,bridge_safe
2024,11038,Schelle,Schelle,Schelle,Schelle,5883,205,5883,12,true,false,false,bridge_safe
2024,11039,Schilde,Schilde,Schilde,Schilde,13598,220,13598,12,true,false,false,bridge_safe
2024,11040,Schoten,Schoten,Schoten,Schoten,22704,615,22704,12,true,false,false,bridge_safe
2024,11044,Stabroek,Stabroek,Stabroek,Stabroek,12600,446,12600,12,true,false,false,bridge_safe
2024,11050,Wijnegem,Wijnegem,Wijnegem,Wijnegem,6760,226,6760,12,true,false,false,bridge_safe
2024,11052,Wommelgem,Wommelgem,Wommelgem,Wommelgem,8589,253,8589,12,true,false,false,bridge_safe
2024,11053,Wuustwezel,Wuustwezel,Wuustwezel,Wuustwezel,13844,482,13844,12,true,false,false,bridge_safe
2024,11054,Zandhoven,Zandhoven,Zandhoven,Zandhoven,9405,271,9405,12,true,false,false,bridge_safe
2024,11055,Zoersel,Zoersel,Zoersel,Zoersel,15945,359,15945,12,true,false,false,bridge_safe
2024,11056,Zwijndrecht,Zwijndrecht,Zwijndrecht,Zwijndrecht,12128,449,12128,12,true,false,false,bridge_safe
2024,11057,Malle,Malle,Malle,Malle,10764,378,10764,12,true,false,false,bridge_safe
2024,12002,Berlaar,Berlaar,Berlaar,Berlaar,8344,333,8344,12,true,false,false,bridge_safe
2024,12005,Bonheiden,Bonheiden,Bonheiden,Bonheiden,10802,274,10802,12,true,false,false,bridge_safe
2024,12007,Bornem,Bornem,Bornem,Bornem,15896,506,15896,12,true,false,false,bridge_safe
2024,12009,Duffel,Duffel,Duffel,Duffel,12058,436,12058,12,true,false,false,bridge_safe
2024,12014,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,31007,1337,31007,12,true,false,false,bridge_safe
2024,12021,Lier,Lierre,Lier,Lier,25294,906,25294,12,true,false,false,bridge_safe
2024,12025,Mechelen,Malines,Mechelen,Mecheln,54145,2167,54145,12,true,false,false,bridge_safe
2024,12026,Nijlen,Nijlen,Nijlen,Nijlen,16940,647,16940,12,true,false,false,bridge_safe
2024,12029,Putte,Putte,Putte,Putte,13166,511,13166,12,true,false,false,bridge_safe
2024,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,14665,553,14665,12,true,false,false,bridge_safe
2024,12040,Willebroek,Willebroek,Willebroek,Willebroek,17140,775,17140,12,true,false,false,bridge_safe
