election_year,election_date,bridge_geography_year,public_geography_id,municipality,source_municipality_count,source_geography_ids,merge_group,bridge_status,party,party_ids,votes,valid_votes,blank_votes,share,source_scope,method_note
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,BELG.UNIE-BUB,303439,16,10070,272,0.1589,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,CD&V,303356,947,10070,272,9.4042,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,DierAnimal,305916,80,10070,272,0.7944,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,GROEN,303164,503,10070,272,4.995,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,N-VA,303352,4141,10070,272,41.1221,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,PVDA,303048,694,10070,272,6.8918,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,Partij BLANCO,305969,59,10070,272,0.5859,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,VLAAMS BELANG,305802,1895,10070,272,18.8183,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,Volt Europa,305966,26,10070,272,0.2582,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11001,Aartselaar,1,11001,identity_2024_to_2025,identity_2024_to_2025,Voor U,305968,77,10070,272,0.7646,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
