election_year,election_date,public_geography_id,municipality,label_french,label_dutch,label_german,party,party_id,list_number,language_group,votes,valid_votes,blank_votes,share,vote_sum_reconciles,special_bucket,bridge_safe,source_scope
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),VLAAMS BELANG,305802,1,Dutch,1758,11248,396,15.6294,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),open vld,305803,3,Dutch,1247,11248,396,11.0864,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),Volt Europa,305966,5,Dutch,317,11248,396,2.8183,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),PVDA,303048,8,Dutch,725,11248,396,6.4456,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),Vooruit,305967,9,Dutch,1022,11248,396,9.0861,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),N-VA,303352,10,Dutch,2759,11248,396,24.5288,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),GROEN,303164,15,Dutch,1973,11248,396,17.5409,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),CD&V,303356,16,Dutch,793,11248,396,7.0501,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),Voor U,305968,17,Dutch,94,11248,396,0.8357,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),DierAnimal,305916,19,Dutch,387,11248,396,3.4406,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),Partij BLANCO,305969,20,Dutch,109,11248,396,0.9691,true,true,false,ibz_municipality_level
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),BELG.UNIE-BUB,303439,21,Dutch,64,11248,396,0.569,true,true,false,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,VLAAMS BELANG,305802,1,Dutch,1895,10070,272,18.8183,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,open vld,305803,3,Dutch,772,10070,272,7.6663,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,Volt Europa,305966,5,Dutch,26,10070,272,0.2582,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,PVDA,303048,8,Dutch,694,10070,272,6.8918,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,Vooruit,305967,9,Dutch,860,10070,272,8.5402,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,N-VA,303352,10,Dutch,4141,10070,272,41.1221,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,GROEN,303164,15,Dutch,503,10070,272,4.995,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,CD&V,303356,16,Dutch,947,10070,272,9.4042,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,Voor U,305968,17,Dutch,77,10070,272,0.7646,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,DierAnimal,305916,19,Dutch,80,10070,272,0.7944,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,Partij BLANCO,305969,20,Dutch,59,10070,272,0.5859,true,false,true,ibz_municipality_level
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,BELG.UNIE-BUB,303439,21,Dutch,16,10070,272,0.1589,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,VLAAMS BELANG,305802,1,Dutch,39720,275304,11823,14.4277,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,open vld,305803,3,Dutch,14572,275304,11823,5.2931,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,Volt Europa,305966,5,Dutch,1333,275304,11823,0.4842,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,PVDA,303048,8,Dutch,61491,275304,11823,22.3357,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,Vooruit,305967,9,Dutch,29820,275304,11823,10.8317,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,N-VA,303352,10,Dutch,76828,275304,11823,27.9066,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,GROEN,303164,15,Dutch,30890,275304,11823,11.2203,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,CD&V,303356,16,Dutch,14900,275304,11823,5.4122,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,Voor U,305968,17,Dutch,1546,275304,11823,0.5616,true,false,true,ibz_municipality_level
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,DierAnimal,305916,19,Dutch,2337,275304,11823,0.8489,true,false,true,ibz_municipality_level
