factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
age65,bridge_safe_2025_geography,11001,Aartselaar,Aartselaar,25.707657,true,matched_factor_source
age65,bridge_safe_2025_geography,11002,Antwerpen,Anvers,16.052792,true,matched_factor_source
age65,bridge_safe_2025_geography,11004,Boechout,Boechout,24.386786,true,matched_factor_source
age65,bridge_safe_2025_geography,11005,Boom,Boom,16.911286,true,matched_factor_source
age65,bridge_safe_2025_geography,11008,Brasschaat,Brasschaat,27.353422,true,matched_factor_source
age65,bridge_safe_2025_geography,11009,Brecht,Brecht,23.488864,true,matched_factor_source
age65,bridge_safe_2025_geography,11013,Edegem,Edegem,25.078066,true,matched_factor_source
age65,bridge_safe_2025_geography,11016,Essen,Essen,21.651162,true,matched_factor_source
age65,bridge_safe_2025_geography,11018,Hemiksem,Hemiksem,18.722926,true,matched_factor_source
age65,bridge_safe_2025_geography,11021,Hove,Hove,27.0,true,matched_factor_source
age65,bridge_safe_2025_geography,11022,Kalmthout,Kalmthout,24.861293,true,matched_factor_source
age65,bridge_safe_2025_geography,11023,Kapellen,Kapellen,25.682866,true,matched_factor_source
age65,bridge_safe_2025_geography,11024,Kontich,Kontich,23.467617,true,matched_factor_source
age65,bridge_safe_2025_geography,11025,Lint,Lint,23.564426,true,matched_factor_source
age65,bridge_safe_2025_geography,11029,Mortsel,Mortsel,20.147621,true,matched_factor_source
age65,bridge_safe_2025_geography,11030,Niel,Niel,17.524188,true,matched_factor_source
age65,bridge_safe_2025_geography,11035,Ranst,Ranst,25.016359,true,matched_factor_source
age65,bridge_safe_2025_geography,11037,Rumst,Rumst,22.435609,true,matched_factor_source
age65,bridge_safe_2025_geography,11038,Schelle,Schelle,22.764042,true,matched_factor_source
age65,bridge_safe_2025_geography,11039,Schilde,Schilde,27.197695,true,matched_factor_source
age65,bridge_safe_2025_geography,11040,Schoten,Schoten,24.167121,true,matched_factor_source
age65,bridge_safe_2025_geography,11044,Stabroek,Stabroek,22.885078,true,matched_factor_source
age65,bridge_safe_2025_geography,11050,Wijnegem,Wijnegem,24.563207,true,matched_factor_source
age65,bridge_safe_2025_geography,11052,Wommelgem,Wommelgem,23.127107,true,matched_factor_source
age65,bridge_safe_2025_geography,11053,Wuustwezel,Wuustwezel,22.080175,true,matched_factor_source
age65,bridge_safe_2025_geography,11054,Zandhoven,Zandhoven,27.06778,true,matched_factor_source
age65,bridge_safe_2025_geography,11055,Zoersel,Zoersel,27.464152,true,matched_factor_source
age65,bridge_safe_2025_geography,11057,Malle,Malle,23.849656,true,matched_factor_source
age65,bridge_safe_2025_geography,12002,Berlaar,Berlaar,23.940416,true,matched_factor_source
age65,bridge_safe_2025_geography,12005,Bonheiden,Bonheiden,25.99809,true,matched_factor_source
age65,bridge_safe_2025_geography,12007,Bornem,Bornem,24.909327,true,matched_factor_source
