country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,value,unit,source_name,provenance_ref,comparability_status
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,15093,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11002,Anvers,Anvers,Antwerpen,Antwerpen,562002,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11004,Boechout,Boechout,Boechout,Boechout,14084,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11005,Boom,Boom,Boom,Boom,19699,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11008,Brasschaat,Brasschaat,Brasschaat,Brasschaat,38416,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11009,Brecht,Brecht,Brecht,Brecht,30664,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11013,Edegem,Edegem,Edegem,Edegem,23502,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11016,Essen,Essen,Essen,Essen,19606,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11018,Hemiksem,Hemiksem,Hemiksem,Hemiksem,12428,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11021,Hove,Hove (Anvers),Hove (Antwerpen),Hove (Antwerpen),8366,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
belgium,population,2025,2025-01-01,statbel-refnis-2025,municipality,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,19712,people,Statbel Population par commune au 1 janvier (1992-2026),provenance/belgium_population_manifest.json,country_local
