coverage_scope,public_geography_id,bridge_municipality,population_municipality,population_value,population_match,coverage_status
bridge_safe_2025_geography,11001,Aartselaar,Aartselaar,15093,true,matched_population_source
bridge_safe_2025_geography,11002,Antwerpen,Anvers,562002,true,matched_population_source
bridge_safe_2025_geography,11004,Boechout,Boechout,14084,true,matched_population_source
bridge_safe_2025_geography,11005,Boom,Boom,19699,true,matched_population_source
bridge_safe_2025_geography,11008,Brasschaat,Brasschaat,38416,true,matched_population_source
bridge_safe_2025_geography,11009,Brecht,Brecht,30664,true,matched_population_source
bridge_safe_2025_geography,11013,Edegem,Edegem,23502,true,matched_population_source
bridge_safe_2025_geography,11016,Essen,Essen,19606,true,matched_population_source
bridge_safe_2025_geography,11018,Hemiksem,Hemiksem,12428,true,matched_population_source
bridge_safe_2025_geography,11021,Hove,Hove,8366,true,matched_population_source
bridge_safe_2025_geography,11022,Kalmthout,Kalmthout,19712,true,matched_population_source
bridge_safe_2025_geography,11023,Kapellen,Kapellen,27976,true,matched_population_source
bridge_safe_2025_geography,11024,Kontich,Kontich,21801,true,matched_population_source
bridge_safe_2025_geography,11025,Lint,Lint,8499,true,matched_population_source
bridge_safe_2025_geography,11029,Mortsel,Mortsel,26736,true,matched_population_source
bridge_safe_2025_geography,11030,Niel,Niel,11032,true,matched_population_source
bridge_safe_2025_geography,11035,Ranst,Ranst,19755,true,matched_population_source
bridge_safe_2025_geography,11037,Rumst,Rumst,15692,true,matched_population_source
bridge_safe_2025_geography,11038,Schelle,Schelle,8682,true,matched_population_source
bridge_safe_2025_geography,11039,Schilde,Schilde,20508,true,matched_population_source
bridge_safe_2025_geography,11040,Schoten,Schoten,34926,true,matched_population_source
bridge_safe_2025_geography,11044,Stabroek,Stabroek,18970,true,matched_population_source
bridge_safe_2025_geography,11050,Wijnegem,Wijnegem,10650,true,matched_population_source
bridge_safe_2025_geography,11052,Wommelgem,Wommelgem,13564,true,matched_population_source
bridge_safe_2025_geography,11053,Wuustwezel,Wuustwezel,21941,true,matched_population_source
bridge_safe_2025_geography,11054,Zandhoven,Zandhoven,13423,true,matched_population_source
bridge_safe_2025_geography,11055,Zoersel,Zoersel,22770,true,matched_population_source
bridge_safe_2025_geography,11057,Malle,Malle,16248,true,matched_population_source
bridge_safe_2025_geography,12002,Berlaar,Berlaar,12115,true,matched_population_source
bridge_safe_2025_geography,12005,Bonheiden,Bonheiden,15641,true,matched_population_source
bridge_safe_2025_geography,12007,Bornem,Bornem,22232,true,matched_population_source
bridge_safe_2025_geography,12009,Duffel,Duffel,18100,true,matched_population_source
bridge_safe_2025_geography,12014,Heist-op-den-Berg,Heist-op-den-Berg,44723,true,matched_population_source
bridge_safe_2025_geography,12021,Lier,Lierre,38517,true,matched_population_source
bridge_safe_2025_geography,12025,Mechelen,Malines,89655,true,matched_population_source
bridge_safe_2025_geography,12026,Nijlen,Nijlen,23747,true,matched_population_source
bridge_safe_2025_geography,12029,Putte,Putte,19091,true,matched_population_source
bridge_safe_2025_geography,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,21917,true,matched_population_source
bridge_safe_2025_geography,12040,Willebroek,Willebroek,28620,true,matched_population_source
bridge_safe_2025_geography,12041,Puurs-Saint-Amands,Puurs-Sint-Amands,27066,true,matched_population_source
bridge_safe_2025_geography,13001,Arendonk,Arendonk,13323,true,matched_population_source
bridge_safe_2025_geography,13002,Baarle-Hertog,Baerle-Duc,3083,true,matched_population_source
bridge_safe_2025_geography,13003,Balen,Balen,23777,true,matched_population_source
bridge_safe_2025_geography,13004,Beerse,Beerse,18710,true,matched_population_source
bridge_safe_2025_geography,13006,Dessel,Dessel,10076,true,matched_population_source
bridge_safe_2025_geography,13008,Geel,Geel,42427,true,matched_population_source
bridge_safe_2025_geography,13010,Grobbendonk,Grobbendonk,11609,true,matched_population_source
bridge_safe_2025_geography,13011,Herentals,Herentals,29001,true,matched_population_source
bridge_safe_2025_geography,13012,Herenthout,Herenthout,9504,true,matched_population_source
bridge_safe_2025_geography,13013,Herselt,Herselt,14829,true,matched_population_source
bridge_safe_2025_geography,13014,Hoogstraten,Hoogstraten,22403,true,matched_population_source
bridge_safe_2025_geography,13016,Hulshout,Hulshout,10634,true,matched_population_source
bridge_safe_2025_geography,13017,Kasterlee,Kasterlee,19802,true,matched_population_source
bridge_safe_2025_geography,13019,Lille,Lille,17130,true,matched_population_source
bridge_safe_2025_geography,13021,Meerhout,Meerhout,10377,true,matched_population_source
bridge_safe_2025_geography,13023,Merksplas,Merksplas,8921,true,matched_population_source
bridge_safe_2025_geography,13025,Mol,Mol,38701,true,matched_population_source
bridge_safe_2025_geography,13029,Olen,Olen,12915,true,matched_population_source
bridge_safe_2025_geography,13031,Oud-Turnhout,Oud-Turnhout,15045,true,matched_population_source
bridge_safe_2025_geography,13035,Ravels,Ravels,15712,true,matched_population_source
bridge_safe_2025_geography,13036,Retie,Retie,11995,true,matched_population_source
bridge_safe_2025_geography,13037,Rijkevorsel,Rijkevorsel,12560,true,matched_population_source
bridge_safe_2025_geography,13040,Turnhout,Turnhout,47965,true,matched_population_source
bridge_safe_2025_geography,13044,Vorselaar,Vorselaar,8079,true,matched_population_source
bridge_safe_2025_geography,13046,Vosselaar,Vosselaar,11816,true,matched_population_source
bridge_safe_2025_geography,13049,Westerlo,Westerlo,25691,true,matched_population_source
bridge_safe_2025_geography,13053,Laakdal,Laakdal,16935,true,matched_population_source
bridge_safe_2025_geography,21001,Anderlecht,Anderlecht,128724,true,matched_population_source
bridge_safe_2025_geography,21002,Auderghem,Auderghem,35698,true,matched_population_source
bridge_safe_2025_geography,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,25803,true,matched_population_source
bridge_safe_2025_geography,21004,Bruxelles,Bruxelles,198314,true,matched_population_source
bridge_safe_2025_geography,21005,Etterbeek,Etterbeek,49131,true,matched_population_source
bridge_safe_2025_geography,21006,Evere,Evere,45892,true,matched_population_source
bridge_safe_2025_geography,21007,Forest,Forest,58675,true,matched_population_source
bridge_safe_2025_geography,21008,Ganshoren,Ganshoren,25693,true,matched_population_source
bridge_safe_2025_geography,21009,Ixelles,Ixelles,89897,true,matched_population_source
bridge_safe_2025_geography,21010,Jette,Jette,54390,true,matched_population_source
bridge_safe_2025_geography,21011,Koekelberg,Koekelberg,22979,true,matched_population_source
bridge_safe_2025_geography,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,98713,true,matched_population_source
bridge_safe_2025_geography,21013,Saint-Gilles,Saint-Gilles,48827,true,matched_population_source
bridge_safe_2025_geography,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,27258,true,matched_population_source
bridge_safe_2025_geography,21015,Schaerbeek,Schaerbeek,129775,true,matched_population_source
bridge_safe_2025_geography,21016,Uccle,Uccle,87194,true,matched_population_source
bridge_safe_2025_geography,21017,Watermael-Boitsfort,Watermael-Boitsfort,25327,true,matched_population_source
bridge_safe_2025_geography,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,60956,true,matched_population_source
bridge_safe_2025_geography,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,42549,true,matched_population_source
bridge_safe_2025_geography,23002,Asse,Asse,35882,true,matched_population_source
bridge_safe_2025_geography,23003,Beersel,Beersel,26593,true,matched_population_source
bridge_safe_2025_geography,23009,Bever,Biévène,2266,true,matched_population_source
bridge_safe_2025_geography,23016,Dilbeek,Dilbeek,45069,true,matched_population_source
bridge_safe_2025_geography,23025,Grimbergen,Grimbergen,40062,true,matched_population_source
bridge_safe_2025_geography,23027,Halle,Hal,42884,true,matched_population_source
bridge_safe_2025_geography,23033,Hoeilaart,Hoeilaart,11565,true,matched_population_source
bridge_safe_2025_geography,23038,Kampenhout,Kampenhout,12606,true,matched_population_source
bridge_safe_2025_geography,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,9806,true,matched_population_source
bridge_safe_2025_geography,23044,Liedekerke,Liedekerke,14155,true,matched_population_source
bridge_safe_2025_geography,23045,Londerzeel,Londerzeel,19491,true,matched_population_source
bridge_safe_2025_geography,23047,Machelen,Machelen,16784,true,matched_population_source
bridge_safe_2025_geography,23050,Meise,Meise,20392,true,matched_population_source
bridge_safe_2025_geography,23052,Merchtem,Merchtem,18361,true,matched_population_source
bridge_safe_2025_geography,23060,Opwijk,Opwijk,15006,true,matched_population_source
bridge_safe_2025_geography,23062,Overijse,Overijse,26250,true,matched_population_source
bridge_safe_2025_geography,23064,Pepingen,Pepingen,4564,true,matched_population_source
bridge_safe_2025_geography,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,36732,true,matched_population_source
bridge_safe_2025_geography,23081,Steenokkerzeel,Steenokkerzeel,12727,true,matched_population_source
bridge_safe_2025_geography,23086,Ternat,Ternat,16691,true,matched_population_source
bridge_safe_2025_geography,23088,Vilvoorde,Vilvorde,48040,true,matched_population_source
bridge_safe_2025_geography,23094,Zaventem,Zaventem,37271,true,matched_population_source
bridge_safe_2025_geography,23096,Zemst,Zemst,23369,true,matched_population_source
bridge_safe_2025_geography,23097,Roosdaal,Roosdaal,12021,true,matched_population_source
bridge_safe_2025_geography,23104,Lennik,Lennik,9481,true,matched_population_source
bridge_safe_2025_geography,23105,Affligem,Affligem,13770,true,matched_population_source
bridge_safe_2025_geography,23106,Pajottegem,Pajottegem,25287,true,matched_population_source
bridge_safe_2025_geography,24001,Aarschot,Aarschot,31514,true,matched_population_source
bridge_safe_2025_geography,24007,Begijnendijk,Begijnendijk,10642,true,matched_population_source
bridge_safe_2025_geography,24008,Bekkevoort,Bekkevoort,6922,true,matched_population_source
bridge_safe_2025_geography,24009,Bertem,Bertem,10342,true,matched_population_source
bridge_safe_2025_geography,24011,Bierbeek,Bierbeek,10778,true,matched_population_source
bridge_safe_2025_geography,24014,Boortmeerbeek,Boortmeerbeek,13400,true,matched_population_source
bridge_safe_2025_geography,24016,Boutersem,Boutersem,8709,true,matched_population_source
bridge_safe_2025_geography,24020,Diest,Diest,25141,true,matched_population_source
bridge_safe_2025_geography,24028,Geetbets,Geetbets,6342,true,matched_population_source
bridge_safe_2025_geography,24033,Haacht,Haacht,15671,true,matched_population_source
bridge_safe_2025_geography,24038,Herent,Herent,23081,true,matched_population_source
bridge_safe_2025_geography,24041,Hoegaarden,Hoegaarden,6963,true,matched_population_source
bridge_safe_2025_geography,24043,Holsbeek,Holsbeek,10234,true,matched_population_source
bridge_safe_2025_geography,24045,Huldenberg,Huldenberg,10071,true,matched_population_source
bridge_safe_2025_geography,24048,Keerbergen,Keerbergen,13355,true,matched_population_source
bridge_safe_2025_geography,24054,Kortenaken,Kortenaken,7984,true,matched_population_source
bridge_safe_2025_geography,24055,Kortenberg,Kortenberg,21386,true,matched_population_source
bridge_safe_2025_geography,24059,Landen,Landen,16375,true,matched_population_source
bridge_safe_2025_geography,24062,Leuven,Louvain,104906,true,matched_population_source
bridge_safe_2025_geography,24066,Lubbeek,Lubbeek,15236,true,matched_population_source
bridge_safe_2025_geography,24086,Oud-Heverlee,Oud-Heverlee,11406,true,matched_population_source
bridge_safe_2025_geography,24094,Rotselaar,Rotselaar,17689,true,matched_population_source
bridge_safe_2025_geography,24104,Tervuren,Tervuren,23246,true,matched_population_source
bridge_safe_2025_geography,24107,Tienen,Tirlemont,36890,true,matched_population_source
bridge_safe_2025_geography,24109,Tremelo,Tremelo,15418,true,matched_population_source
bridge_safe_2025_geography,24130,Zoutleeuw,Léau,8766,true,matched_population_source
bridge_safe_2025_geography,24133,Linter,Linter,7354,true,matched_population_source
bridge_safe_2025_geography,24134,Scherpenheuvel-Zichem,Montaigu-Zichem,24200,true,matched_population_source
bridge_safe_2025_geography,24135,Tielt-Winge,Tielt-Winge,11568,true,matched_population_source
bridge_safe_2025_geography,24137,Glabbeek,Glabbeek,5449,true,matched_population_source
bridge_safe_2025_geography,25005,Beauvechain,Beauvechain,7242,true,matched_population_source
bridge_safe_2025_geography,25014,Braine-l'Alleud,Braine-l’Alleud,40756,true,matched_population_source
bridge_safe_2025_geography,25015,Braine-le-Chateau,Braine-le-Château,10638,true,matched_population_source
bridge_safe_2025_geography,25018,Chaumont-Gistoux,Chaumont-Gistoux,11894,true,matched_population_source
bridge_safe_2025_geography,25023,Court-Saint-Etienne,Court-Saint-Etienne,10927,true,matched_population_source
bridge_safe_2025_geography,25031,Genappe,Genappe,16160,true,matched_population_source
bridge_safe_2025_geography,25037,Grez-Doiceau,Grez-Doiceau,14014,true,matched_population_source
bridge_safe_2025_geography,25043,Incourt,Incourt,5658,true,matched_population_source
bridge_safe_2025_geography,25044,Ittre,Ittre,6963,true,matched_population_source
bridge_safe_2025_geography,25048,Jodoigne,Jodoigne,14935,true,matched_population_source
bridge_safe_2025_geography,25050,La Hulpe,La Hulpe,7482,true,matched_population_source
bridge_safe_2025_geography,25068,Mont-Saint-Guibert,Mont-Saint-Guibert,8451,true,matched_population_source
bridge_safe_2025_geography,25072,Nivelles,Nivelles,29429,true,matched_population_source
bridge_safe_2025_geography,25084,Perwez,Perwez,9844,true,matched_population_source
bridge_safe_2025_geography,25091,Rixensart,Rixensart,23052,true,matched_population_source
bridge_safe_2025_geography,25105,Tubize,Tubize,28716,true,matched_population_source
bridge_safe_2025_geography,25107,Villers-la-Ville,Villers-la-Ville,11059,true,matched_population_source
bridge_safe_2025_geography,25110,Waterloo,Waterloo,30389,true,matched_population_source
bridge_safe_2025_geography,25112,Wavre,Wavre,35581,true,matched_population_source
bridge_safe_2025_geography,25117,Chastre,Chastre,7813,true,matched_population_source
bridge_safe_2025_geography,25118,Helecine,Hélécine,3894,true,matched_population_source
bridge_safe_2025_geography,25119,Lasne,Lasne,14175,true,matched_population_source
bridge_safe_2025_geography,25120,Orp-Jauche,Orp-Jauche,9092,true,matched_population_source
bridge_safe_2025_geography,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,31766,true,matched_population_source
bridge_safe_2025_geography,25122,Ramillies,Ramillies,6710,true,matched_population_source
bridge_safe_2025_geography,25123,Rebecq,Rebecq,11185,true,matched_population_source
bridge_safe_2025_geography,25124,Walhain,Walhain,7556,true,matched_population_source
bridge_safe_2025_geography,31003,Beernem,Beernem,16318,true,matched_population_source
bridge_safe_2025_geography,31004,Blankenberge,Blankenberge,20654,true,matched_population_source
bridge_safe_2025_geography,31005,Brugge,Bruges,120283,true,matched_population_source
bridge_safe_2025_geography,31006,Damme,Damme,11278,true,matched_population_source
bridge_safe_2025_geography,31012,Jabbeke,Jabbeke,14932,true,matched_population_source
bridge_safe_2025_geography,31022,Oostkamp,Oostkamp,24142,true,matched_population_source
bridge_safe_2025_geography,31033,Torhout,Torhout,21159,true,matched_population_source
bridge_safe_2025_geography,31040,Zedelgem,Zedelgem,23635,true,matched_population_source
bridge_safe_2025_geography,31042,Zuienkerke,Zuienkerke,2657,true,matched_population_source
bridge_safe_2025_geography,31043,Knokke-Heist,Knokke-Heist,32415,true,matched_population_source
bridge_safe_2025_geography,32003,Diksmuide,Dixmude,17337,true,matched_population_source
bridge_safe_2025_geography,32006,Houthulst,Houthulst,10525,true,matched_population_source
bridge_safe_2025_geography,32010,Koekelare,Koekelare,8801,true,matched_population_source
bridge_safe_2025_geography,32011,Kortemark,Kortemark,12882,true,matched_population_source
bridge_safe_2025_geography,32030,Lo-Reninge,Lo-Reninge,3183,true,matched_population_source
bridge_safe_2025_geography,33011,Ieper,Ypres,35587,true,matched_population_source
bridge_safe_2025_geography,33016,Mesen,Messines,1071,true,matched_population_source
bridge_safe_2025_geography,33021,Poperinge,Poperinge,19962,true,matched_population_source
bridge_safe_2025_geography,33029,Wervik,Wervik,19207,true,matched_population_source
bridge_safe_2025_geography,33037,Zonnebeke,Zonnebeke,12769,true,matched_population_source
bridge_safe_2025_geography,33039,Heuvelland,Heuvelland,8021,true,matched_population_source
bridge_safe_2025_geography,33040,Langemark-Poelkapelle,Langemark-Poelkapelle,8202,true,matched_population_source
bridge_safe_2025_geography,33041,Vleteren,Vleteren,3583,true,matched_population_source
bridge_safe_2025_geography,34002,Anzegem,Anzegem,15246,true,matched_population_source
bridge_safe_2025_geography,34003,Avelgem,Avelgem,10450,true,matched_population_source
bridge_safe_2025_geography,34009,Deerlijk,Deerlijk,12690,true,matched_population_source
bridge_safe_2025_geography,34013,Harelbeke,Harelbeke,30311,true,matched_population_source
bridge_safe_2025_geography,34022,Kortrijk,Courtrai,80776,true,matched_population_source
bridge_safe_2025_geography,34023,Kuurne,Kuurne,14244,true,matched_population_source
bridge_safe_2025_geography,34025,Lendelede,Lendelede,5849,true,matched_population_source
bridge_safe_2025_geography,34027,Menen,Menin,34585,true,matched_population_source
bridge_safe_2025_geography,34040,Waregem,Waregem,40436,true,matched_population_source
bridge_safe_2025_geography,34041,Wevelgem,Wevelgem,31940,true,matched_population_source
bridge_safe_2025_geography,34042,Zwevegem,Zwevegem,25870,true,matched_population_source
bridge_safe_2025_geography,34043,Spiere-Helkijn,Espierres-Helchin,2053,true,matched_population_source
bridge_safe_2025_geography,35002,Bredene,Bredene,18196,true,matched_population_source
bridge_safe_2025_geography,35005,Gistel,Gistel,12117,true,matched_population_source
bridge_safe_2025_geography,35006,Ichtegem,Ichtegem,14622,true,matched_population_source
bridge_safe_2025_geography,35011,Middelkerke,Middelkerke,20023,true,matched_population_source
bridge_safe_2025_geography,35013,Oostende,Ostende,72817,true,matched_population_source
bridge_safe_2025_geography,35014,Oudenburg,Oudenburg,10231,true,matched_population_source
bridge_safe_2025_geography,35029,De Haan,De Haan,12627,true,matched_population_source
bridge_safe_2025_geography,36006,Hooglede,Hooglede,10312,true,matched_population_source
bridge_safe_2025_geography,36007,Ingelmunster,Ingelmunster,11597,true,matched_population_source
bridge_safe_2025_geography,36008,Izegem,Izegem,29427,true,matched_population_source
bridge_safe_2025_geography,36010,Ledegem,Ledegem,9775,true,matched_population_source
bridge_safe_2025_geography,36011,Lichtervelde,Lichtervelde,9437,true,matched_population_source
bridge_safe_2025_geography,36012,Moorslede,Moorslede,11504,true,matched_population_source
bridge_safe_2025_geography,36015,Roeselare,Roulers,66888,true,matched_population_source
bridge_safe_2025_geography,36019,Staden,Staden,11696,true,matched_population_source
bridge_safe_2025_geography,37002,Dentergem,Dentergem,8673,true,matched_population_source
bridge_safe_2025_geography,37010,Oostrozebeke,Oostrozebeke,8013,true,matched_population_source
bridge_safe_2025_geography,37011,Pittem,Pittem,6971,true,matched_population_source
bridge_safe_2025_geography,37017,Wielsbeke,Wielsbeke,10256,true,matched_population_source
bridge_safe_2025_geography,37020,Ardooie,Ardooie,9514,true,matched_population_source
bridge_safe_2025_geography,37021,Wingene,Wingene,20781,true,matched_population_source
bridge_safe_2025_geography,37022,Tielt,Tielt,31908,true,matched_population_source
bridge_safe_2025_geography,38002,Alveringem,Alveringem,4966,true,matched_population_source
bridge_safe_2025_geography,38008,De Panne,La Panne,10874,true,matched_population_source
bridge_safe_2025_geography,38014,Koksijde,Koksijde,21344,true,matched_population_source
bridge_safe_2025_geography,38016,Nieuwpoort,Nieuport,11399,true,matched_population_source
bridge_safe_2025_geography,38025,Veurne,Furnes,12564,true,matched_population_source
bridge_safe_2025_geography,41002,Aalst,Alost,92131,true,matched_population_source
bridge_safe_2025_geography,41011,Denderleeuw,Denderleeuw,21257,true,matched_population_source
bridge_safe_2025_geography,41018,Geraardsbergen,Grammont,35236,true,matched_population_source
bridge_safe_2025_geography,41024,Haaltert,Haaltert,19517,true,matched_population_source
bridge_safe_2025_geography,41027,Herzele,Herzele,19179,true,matched_population_source
bridge_safe_2025_geography,41034,Lede,Lede,19425,true,matched_population_source
bridge_safe_2025_geography,41048,Ninove,Ninove,40580,true,matched_population_source
bridge_safe_2025_geography,41063,Sint-Lievens-Houtem,Sint-Lievens-Houtem,10748,true,matched_population_source
bridge_safe_2025_geography,41081,Zottegem,Zottegem,28236,true,matched_population_source
bridge_safe_2025_geography,41082,Erpe-Mere,Erpe-Mere,21117,true,matched_population_source
bridge_safe_2025_geography,42003,Berlare,Berlare,15425,true,matched_population_source
bridge_safe_2025_geography,42004,Buggenhout,Buggenhout,15079,true,matched_population_source
bridge_safe_2025_geography,42006,Dendermonde,Termonde,47539,true,matched_population_source
bridge_safe_2025_geography,42008,Hamme,Hamme,25706,true,matched_population_source
bridge_safe_2025_geography,42010,Laarne,Laarne,12496,true,matched_population_source
bridge_safe_2025_geography,42011,Lebbeke,Lebbeke,20298,true,matched_population_source
bridge_safe_2025_geography,42023,Waasmunster,Waasmunster,11395,true,matched_population_source
bridge_safe_2025_geography,42025,Wetteren,Wetteren,26926,true,matched_population_source
bridge_safe_2025_geography,42026,Wichelen,Wichelen,12050,true,matched_population_source
bridge_safe_2025_geography,42028,Zele,Zele,21521,true,matched_population_source
bridge_safe_2025_geography,43002,Assenede,Assenede,14617,true,matched_population_source
bridge_safe_2025_geography,43005,Eeklo,Eeklo,22733,true,matched_population_source
bridge_safe_2025_geography,43007,Kaprijke,Kaprijke,6638,true,matched_population_source
bridge_safe_2025_geography,43010,Maldegem,Maldegem,24883,true,matched_population_source
bridge_safe_2025_geography,43014,Sint-Laureins,Sint-Laureins,6941,true,matched_population_source
bridge_safe_2025_geography,43018,Zelzate,Zelzate,13653,true,matched_population_source
bridge_safe_2025_geography,44013,Destelbergen,Destelbergen,19088,true,matched_population_source
bridge_safe_2025_geography,44019,Evergem,Evergem,37254,true,matched_population_source
bridge_safe_2025_geography,44020,Gavere,Gavere,13353,true,matched_population_source
bridge_safe_2025_geography,44021,Gent,Gand,272657,true,matched_population_source
bridge_safe_2025_geography,44052,Oosterzele,Oosterzele,14088,true,matched_population_source
bridge_safe_2025_geography,44064,Sint-Martens-Latem,Sint-Martens-Latem,8149,true,matched_population_source
bridge_safe_2025_geography,44081,Zulte,Zulte,16233,true,matched_population_source
bridge_safe_2025_geography,44083,Deinze,Deinze,46026,true,matched_population_source
bridge_safe_2025_geography,44084,Aalter,Aalter,29830,true,matched_population_source
bridge_safe_2025_geography,44085,Lievegem,Lievegem,27350,true,matched_population_source
bridge_safe_2025_geography,44086,Nazareth-De Pinte,Nazareth-De Pinte,23574,true,matched_population_source
bridge_safe_2025_geography,44087,Lochristi,Lochristi,30916,true,matched_population_source
bridge_safe_2025_geography,44088,Merelbeke-Melle,Merelbeke-Melle,37369,true,matched_population_source
bridge_safe_2025_geography,45035,Oudenaarde,Audenarde,32930,true,matched_population_source
bridge_safe_2025_geography,45041,Ronse,Renaix,27577,true,matched_population_source
bridge_safe_2025_geography,45059,Brakel,Brakel,15127,true,matched_population_source
bridge_safe_2025_geography,45060,Kluisbergen,Kluisbergen,6869,true,matched_population_source
bridge_safe_2025_geography,45061,Wortegem-Petegem,Wortegem-Petegem,6545,true,matched_population_source
bridge_safe_2025_geography,45062,Horebeke,Horebeke,2026,true,matched_population_source
bridge_safe_2025_geography,45063,Lierde,Lierde,6858,true,matched_population_source
bridge_safe_2025_geography,45064,Maarkedal,Maarkedal,6320,true,matched_population_source
bridge_safe_2025_geography,45065,Zwalm,Zwalin,8348,true,matched_population_source
bridge_safe_2025_geography,45068,Kruisem,Kruisem,16006,true,matched_population_source
bridge_safe_2025_geography,46020,Sint-Gillis-Waas,Sint-Gillis-Waas,20139,true,matched_population_source
bridge_safe_2025_geography,46021,Sint-Niklaas,Sint-Niklaas,82661,true,matched_population_source
bridge_safe_2025_geography,46024,Stekene,Stekene,19767,true,matched_population_source
bridge_safe_2025_geography,46025,Temse,Tamise,31613,true,matched_population_source
bridge_safe_2025_geography,46029,Lokeren,Lokeren,50606,true,matched_population_source
