country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,population,area_km2,value,unit,source_name,provenance_ref,comparability_status
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,15093,11.018926,1369.7342,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11002,Anvers,Anvers,Antwerpen,Antwerpen,562002,208.217473,2699.1107,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11004,Boechout,Boechout,Boechout,Boechout,14084,20.707945,680.1254,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11005,Boom,Boom,Boom,Boom,19699,7.381599,2668.663,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11008,Brasschaat,Brasschaat,Brasschaat,Brasschaat,38416,38.579862,995.7527,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11009,Brecht,Brecht,Brecht,Brecht,30664,91.46369,335.2587,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11013,Edegem,Edegem,Edegem,Edegem,23502,8.717294,2696.0201,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11016,Essen,Essen,Essen,Essen,19606,47.569937,412.1511,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11018,Hemiksem,Hemiksem,Hemiksem,Hemiksem,12428,5.480433,2267.704,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11021,Hove,Hove (Anvers),Hove (Antwerpen),Hove (Antwerpen),8366,6.017989,1390.1654,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,19712,59.409054,331.8013,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11023,Kapellen,Kapellen (Anvers),Kapellen (Antwerpen),Kapellen (Antwerpen),27976,37.222532,751.5878,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11024,Kontich,Kontich,Kontich,Kontich,21801,23.800362,915.9945,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
