factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,11001,Aartselaar,Aartselaar,1369.7342,true,matched_factor_source
population_density,bridge_safe_2025_geography,11002,Antwerpen,Anvers,2699.1107,true,matched_factor_source
population_density,bridge_safe_2025_geography,11004,Boechout,Boechout,680.1254,true,matched_factor_source
population_density,bridge_safe_2025_geography,11005,Boom,Boom,2668.663,true,matched_factor_source
population_density,bridge_safe_2025_geography,11008,Brasschaat,Brasschaat,995.7527,true,matched_factor_source
population_density,bridge_safe_2025_geography,11009,Brecht,Brecht,335.2587,true,matched_factor_source
population_density,bridge_safe_2025_geography,11013,Edegem,Edegem,2696.0201,true,matched_factor_source
population_density,bridge_safe_2025_geography,11016,Essen,Essen,412.1511,true,matched_factor_source
population_density,bridge_safe_2025_geography,11018,Hemiksem,Hemiksem,2267.704,true,matched_factor_source
population_density,bridge_safe_2025_geography,11021,Hove,Hove,1390.1654,true,matched_factor_source
population_density,bridge_safe_2025_geography,11022,Kalmthout,Kalmthout,331.8013,true,matched_factor_source
population_density,bridge_safe_2025_geography,11023,Kapellen,Kapellen,751.5878,true,matched_factor_source
population_density,bridge_safe_2025_geography,11024,Kontich,Kontich,915.9945,true,matched_factor_source
population_density,bridge_safe_2025_geography,11025,Lint,Lint,1504.0822,true,matched_factor_source
population_density,bridge_safe_2025_geography,11029,Mortsel,Mortsel,3434.6095,true,matched_factor_source
population_density,bridge_safe_2025_geography,11030,Niel,Niel,2063.4422,true,matched_factor_source
population_density,bridge_safe_2025_geography,11035,Ranst,Ranst,452.3376,true,matched_factor_source
population_density,bridge_safe_2025_geography,11037,Rumst,Rumst,778.749,true,matched_factor_source
population_density,bridge_safe_2025_geography,11038,Schelle,Schelle,1109.4482,true,matched_factor_source
population_density,bridge_safe_2025_geography,11039,Schilde,Schilde,568.2723,true,matched_factor_source
population_density,bridge_safe_2025_geography,11040,Schoten,Schoten,1183.5255,true,matched_factor_source
population_density,bridge_safe_2025_geography,11044,Stabroek,Stabroek,885.5321,true,matched_factor_source
population_density,bridge_safe_2025_geography,11050,Wijnegem,Wijnegem,1350.7821,true,matched_factor_source
population_density,bridge_safe_2025_geography,11052,Wommelgem,Wommelgem,1043.8981,true,matched_factor_source
population_density,bridge_safe_2025_geography,11053,Wuustwezel,Wuustwezel,245.3962,true,matched_factor_source
population_density,bridge_safe_2025_geography,11054,Zandhoven,Zandhoven,334.7512,true,matched_factor_source
population_density,bridge_safe_2025_geography,11055,Zoersel,Zoersel,588.6016,true,matched_factor_source
population_density,bridge_safe_2025_geography,11057,Malle,Malle,313.0542,true,matched_factor_source
population_density,bridge_safe_2025_geography,12002,Berlaar,Berlaar,493.9665,true,matched_factor_source
population_density,bridge_safe_2025_geography,12005,Bonheiden,Bonheiden,535.8183,true,matched_factor_source
population_density,bridge_safe_2025_geography,12007,Bornem,Bornem,481.3465,true,matched_factor_source
population_density,bridge_safe_2025_geography,12009,Duffel,Duffel,800.9495,true,matched_factor_source
population_density,bridge_safe_2025_geography,12014,Heist-op-den-Berg,Heist-op-den-Berg,515.9991,true,matched_factor_source
population_density,bridge_safe_2025_geography,12021,Lier,Lierre,772.6131,true,matched_factor_source
population_density,bridge_safe_2025_geography,12025,Mechelen,Malines,1362.7977,true,matched_factor_source
population_density,bridge_safe_2025_geography,12026,Nijlen,Nijlen,605.8628,true,matched_factor_source
population_density,bridge_safe_2025_geography,12029,Putte,Putte,543.007,true,matched_factor_source
population_density,bridge_safe_2025_geography,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,606.1897,true,matched_factor_source
population_density,bridge_safe_2025_geography,12040,Willebroek,Willebroek,1045.8261,true,matched_factor_source
population_density,bridge_safe_2025_geography,12041,Puurs-Saint-Amands,Puurs-Sint-Amands,550.8222,true,matched_factor_source
population_density,bridge_safe_2025_geography,13001,Arendonk,Arendonk,241.5692,true,matched_factor_source
population_density,bridge_safe_2025_geography,13002,Baarle-Hertog,Baerle-Duc,415.8213,true,matched_factor_source
population_density,bridge_safe_2025_geography,13003,Balen,Balen,325.7671,true,matched_factor_source
population_density,bridge_safe_2025_geography,13004,Beerse,Beerse,500.8076,true,matched_factor_source
population_density,bridge_safe_2025_geography,13006,Dessel,Dessel,367.1125,true,matched_factor_source
population_density,bridge_safe_2025_geography,13008,Geel,Geel,384.9695,true,matched_factor_source
population_density,bridge_safe_2025_geography,13010,Grobbendonk,Grobbendonk,409.2196,true,matched_factor_source
population_density,bridge_safe_2025_geography,13011,Herentals,Herentals,604.8485,true,matched_factor_source
population_density,bridge_safe_2025_geography,13012,Herenthout,Herenthout,402.5765,true,matched_factor_source
population_density,bridge_safe_2025_geography,13013,Herselt,Herselt,283.149,true,matched_factor_source
population_density,bridge_safe_2025_geography,13014,Hoogstraten,Hoogstraten,212.5626,true,matched_factor_source
population_density,bridge_safe_2025_geography,13016,Hulshout,Hulshout,611.8921,true,matched_factor_source
population_density,bridge_safe_2025_geography,13017,Kasterlee,Kasterlee,274.0025,true,matched_factor_source
population_density,bridge_safe_2025_geography,13019,Lille,Lille,287.3232,true,matched_factor_source
population_density,bridge_safe_2025_geography,13021,Meerhout,Meerhout,283.996,true,matched_factor_source
population_density,bridge_safe_2025_geography,13023,Merksplas,Merksplas,200.024,true,matched_factor_source
population_density,bridge_safe_2025_geography,13025,Mol,Mol,337.8659,true,matched_factor_source
population_density,bridge_safe_2025_geography,13029,Olen,Olen,558.4068,true,matched_factor_source
population_density,bridge_safe_2025_geography,13031,Oud-Turnhout,Oud-Turnhout,384.1009,true,matched_factor_source
population_density,bridge_safe_2025_geography,13035,Ravels,Ravels,165.156,true,matched_factor_source
population_density,bridge_safe_2025_geography,13036,Retie,Retie,247.3217,true,matched_factor_source
population_density,bridge_safe_2025_geography,13037,Rijkevorsel,Rijkevorsel,268.1244,true,matched_factor_source
population_density,bridge_safe_2025_geography,13040,Turnhout,Turnhout,845.7739,true,matched_factor_source
population_density,bridge_safe_2025_geography,13044,Vorselaar,Vorselaar,292.4689,true,matched_factor_source
population_density,bridge_safe_2025_geography,13046,Vosselaar,Vosselaar,998.5933,true,matched_factor_source
population_density,bridge_safe_2025_geography,13049,Westerlo,Westerlo,463.3302,true,matched_factor_source
population_density,bridge_safe_2025_geography,13053,Laakdal,Laakdal,399.1338,true,matched_factor_source
population_density,bridge_safe_2025_geography,21001,Anderlecht,Anderlecht,7185.6648,true,matched_factor_source
population_density,bridge_safe_2025_geography,21002,Auderghem,Auderghem,3981.5904,true,matched_factor_source
population_density,bridge_safe_2025_geography,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,8746.5425,true,matched_factor_source
population_density,bridge_safe_2025_geography,21004,Bruxelles,Bruxelles,5993.8101,true,matched_factor_source
population_density,bridge_safe_2025_geography,21005,Etterbeek,Etterbeek,15478.2454,true,matched_factor_source
population_density,bridge_safe_2025_geography,21006,Evere,Evere,8954.8336,true,matched_factor_source
population_density,bridge_safe_2025_geography,21007,Forest,Forest,9325.2611,true,matched_factor_source
population_density,bridge_safe_2025_geography,21008,Ganshoren,Ganshoren,10539.9872,true,matched_factor_source
population_density,bridge_safe_2025_geography,21009,Ixelles,Ixelles,14022.0123,true,matched_factor_source
population_density,bridge_safe_2025_geography,21010,Jette,Jette,10480.9825,true,matched_factor_source
population_density,bridge_safe_2025_geography,21011,Koekelberg,Koekelberg,19442.012,true,matched_factor_source
population_density,bridge_safe_2025_geography,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,16409.4774,true,matched_factor_source
population_density,bridge_safe_2025_geography,21013,Saint-Gilles,Saint-Gilles,19270.2964,true,matched_factor_source
population_density,bridge_safe_2025_geography,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,23485.966,true,matched_factor_source
population_density,bridge_safe_2025_geography,21015,Schaerbeek,Schaerbeek,16424.4771,true,matched_factor_source
population_density,bridge_safe_2025_geography,21016,Uccle,Uccle,3811.7704,true,matched_factor_source
population_density,bridge_safe_2025_geography,21017,Watermael-Boitsfort,Watermael-Boitsfort,1953.0202,true,matched_factor_source
population_density,bridge_safe_2025_geography,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,8357.4755,true,matched_factor_source
population_density,bridge_safe_2025_geography,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,4757.1095,true,matched_factor_source
population_density,bridge_safe_2025_geography,23002,Asse,Asse,714.4775,true,matched_factor_source
population_density,bridge_safe_2025_geography,23003,Beersel,Beersel,874.7239,true,matched_factor_source
population_density,bridge_safe_2025_geography,23009,Bever,Biévène,117.8005,true,matched_factor_source
population_density,bridge_safe_2025_geography,23016,Dilbeek,Dilbeek,1086.5782,true,matched_factor_source
population_density,bridge_safe_2025_geography,23025,Grimbergen,Grimbergen,1036.0,true,matched_factor_source
population_density,bridge_safe_2025_geography,23027,Halle,Hal,953.35,true,matched_factor_source
population_density,bridge_safe_2025_geography,23033,Hoeilaart,Hoeilaart,563.1992,true,matched_factor_source
population_density,bridge_safe_2025_geography,23038,Kampenhout,Kampenhout,374.6473,true,matched_factor_source
