election_year,election_date,public_geography_id,ibz_municipality,ibz_label_french,ibz_label_dutch,ibz_label_german,refnis_match,refnis_code,refnis_parent_code,refnis_label_french,refnis_label_dutch,refnis_label_german,refnis_validity_start,refnis_validity_end,special_bucket,vote_sum_reconciles,bridge_safe_for_first_app_layer,reconciliation_status,method_note
2024,2024-06-09,10998,Anvers (E5),Anvers (E5),Antwerpen (E5),Anvers (E5),false,,,,,,,,true,true,false,blocked_special_bucket,IBZ E5 special bucket; not expected to appear as a REFNIS municipality.
2024,2024-06-09,11001,Aartselaar,Aartselaar,Aartselaar,Aartselaar,true,11001,11000,Aartselaar,Aartselaar,Aartselaar,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11002,Antwerpen,Anvers,Antwerpen,Antwerpen,true,11002,11000,Anvers,Antwerpen,Antwerpen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11004,Boechout,Boechout,Boechout,Boechout,true,11004,11000,Boechout,Boechout,Boechout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11005,Boom,Boom,Boom,Boom,true,11005,11000,Boom,Boom,Boom,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11007,Borsbeek,Borsbeek,Borsbeek,Borsbeek,true,11007,11000,Borsbeek,Borsbeek,Borsbeek,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11008,Brasschaat,Brasschaat,Brasschaat,Brasschaat,true,11008,11000,Brasschaat,Brasschaat,Brasschaat,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11009,Brecht,Brecht,Brecht,Brecht,true,11009,11000,Brecht,Brecht,Brecht,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11013,Edegem,Edegem,Edegem,Edegem,true,11013,11000,Edegem,Edegem,Edegem,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11016,Essen,Essen,Essen,Essen,true,11016,11000,Essen,Essen,Essen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11018,Hemiksem,Hemiksem,Hemiksem,Hemiksem,true,11018,11000,Hemiksem,Hemiksem,Hemiksem,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,true,11021,11000,Hove (Anvers),Hove (Antwerpen),Hove (Antwerpen),01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,true,11022,11000,Kalmthout,Kalmthout,Kalmthout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,true,11023,11000,Kapellen (Anvers),Kapellen (Antwerpen),Kapellen (Antwerpen),01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,true,11024,11000,Kontich,Kontich,Kontich,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,true,11025,11000,Lint,Lint,Lint,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,true,11029,11000,Mortsel,Mortsel,Mortsel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,true,11030,11000,Niel,Niel,Niel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,true,11035,11000,Ranst,Ranst,Ranst,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,true,11037,11000,Rumst,Rumst,Rumst,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,true,11038,11000,Schelle,Schelle,Schelle,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,true,11039,11000,Schilde,Schilde,Schilde,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,true,11040,11000,Schoten,Schoten,Schoten,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
